1,50310
2,61397
3,68126
4,53540
5,46367
6,65939
7,40672
8,46234
9,59686
10,67965
11,69610
12,65064
13,63692
14,76325
15,64403
16,44111
17,52206
18,59067
19,52608
20,70210
21,48723
22,63428
23,68683
24,66994
25,72509
26,66863
27,77759
28,49966
29,69792
30,60068
31,58788
32,65493
33,73112
34,66596
35,73696
36,51512
37,44651
38,50513
39,78421
40,46188
41,47708
42,53790
43,51518
44,65557
45,53657
46,68206
47,62714
48,61433
49,68232
50,56708
51,63065
52,51198
53,66329
54,49574
55,56434
56,58226
57,75355
58,72189
59,77625
60,70204
61,56523
62,50576
63,45640
64,40414
65,73658
66,57838
67,66134
68,47667
69,49285
70,62488
71,40428
72,71052
73,59478
74,62650
75,41181
76,62541
77,69241
78,68599
79,41996
80,61311
81,79989
82,63970
83,67440
84,65196
85,49291
86,51544
87,60100
88,78576
89,55949
90,67178
91,75914
92,65675
93,68235
94,55758
95,43603
96,68550
97,55501
98,46034
99,54505
100,60624
101,72772
102,42011
103,77300
104,72149
105,47464
106,54388
107,74304
108,67896
109,73393
110,75210
111,51046
112,76721
113,74183
114,41159
115,75828
116,48574
117,59917
118,49060
119,74059
120,45656
121,67188
122,52842
123,48188
124,48380
125,76662
126,50541
127,53977
128,60482
129,48962
130,66588
131,45326
132,59414
133,63668
134,79803
135,49393
136,76412
137,78906
138,52073
139,62029
140,60273
141,62017
142,72751
143,50411
144,42470
145,50357
146,74968
147,61808
148,47787
149,78638
150,44832
151,75902
152,42521
153,43520
154,62453
155,41733
156,58613
157,70919
158,61906
159,44754
160,51730
161,59729
162,76189
163,42707
164,58252
165,40489
166,44437
167,40619
168,47711
169,78520
170,52572
171,52264
172,65394
173,67090
174,70271
175,50025
176,68438
177,42060
178,50948
179,49467
180,47150
181,50046
182,70948
183,71671
184,43335
185,55183
186,71479
187,53872
188,62696
189,68051
190,70943
191,48878
192,77365
193,66311
194,75974
195,50578
196,46125
197,65281
198,56508
199,79754
200,78379
201,52166
202,69074
203,43150
204,45499
205,71113
206,66881
207,72798
208,69697
209,66953
210,77740
211,66859
212,69072
213,42088
214,43939
215,52073
216,58847
217,57506
218,64128
219,49314
220,56042
221,54371
222,54962
223,63731
224,54689
225,74058
226,55120
227,48261
228,45570
229,79856
230,50376
231,64691
232,77992
233,67795
234,41790
235,68757
236,43561
237,77535
238,77493
239,47187
240,75812
241,59744
242,43112
243,79007
244,47851
245,49390
246,78274
247,64561
248,65309
249,51972
250,68227
251,46880
252,79492
253,50366
254,45642
255,54309
256,54971
257,76070
258,52522
259,45000
260,70198
261,72209
262,69409
263,74079
264,47995
265,42290
266,62926
267,50641
268,50274
269,67755
270,54797
271,69345
272,40360
273,50305
274,45346
275,54614
276,78844
277,66347
278,71102
279,69591
280,43943
281,58409
282,45934
283,63149
284,48713
285,69940
286,40420
287,75853
288,61282
289,41805
290,45068
291,57129
292,60031
293,55224
294,49055
295,45780
296,74768
297,43828
298,72463
299,56987
300,58582
301,42254
302,74989
303,75495
304,51713
305,76266
306,58182
307,61109
308,56548
309,50488
310,50521
311,65905
312,46758
313,66143
314,44347
315,56414
316,50567
317,54644
318,44001
319,76185
320,54410
321,74270
322,78055
323,47647
324,71081
325,67434
326,52182
327,52449
328,67179
329,66693
330,77539
331,73715
332,58531
333,72578
334,43660
335,64611
336,51587
337,76187
338,49142
339,69694
340,73678
341,74157
342,45589
343,56839
344,76510
345,66790
346,42255
347,53339
348,43431
349,54567
350,41896
351,60596
352,79555
353,72592
354,49162
355,54125
356,40906
357,50063
358,54102
359,53850
360,54050
361,43172
362,78073
363,65835
364,76460
365,73882
366,57353
367,74286
368,45045
369,50374
370,42844
371,49983
372,72713
373,50897
374,74161
375,66754
376,54743
377,74805
378,76895
379,45780
380,71383
381,54471
382,53832
383,45312
384,57915
385,68033
386,43421
387,42706
388,69746
389,58648
390,77194
391,43852
392,77037
393,73920
394,48562
395,76711
396,48020
397,54879
398,47108
399,45492
400,66654
401,44189
402,54984
403,44076
404,54664
405,63315
406,73633
407,70360
408,76328
409,55192
410,79813
411,78620
412,66570
413,55869
414,55544
415,49747
416,70209
417,61924
418,74574
419,58067
420,72391
421,53457
422,49814
423,70398
424,62532
425,52234
426,63528
427,49957
428,48178
429,44833
430,58784
431,55849
432,57985
433,44187
434,40141
435,52152
436,51350
437,42699
438,76451
439,67278
440,69424
441,57100
442,43901
443,42258
444,49722
445,49475
446,60089
447,52193
448,74105
449,55832
450,76684
451,51639
452,79636
453,75265
454,77808
455,52800
456,61509
457,70342
458,47061
459,64957
460,75039
461,79014
462,77443
463,43547
464,64586
465,58576
466,68869
467,62456
468,77798
469,73315
470,60874
471,60341
472,40760
473,43311
474,74359
475,69580
476,66014
477,76857
478,55523
479,42360
480,73811
481,55286
482,49528
483,67908
484,48807
485,74685
486,64813
487,67909
488,69453
489,63193
490,71526
491,54825
492,53971
493,67325
494,50601
495,78470
496,67089
497,56892
498,61334
499,70874
500,69807
